#Airfoil 
#Group 	 Point 	 x_coord 	 y_coord 	 z_coord 
1 	 1 	 1.000000 	 0.000000 	 0.000000
1 	 2 	 0.998380 	 0.001260 	 0.000000
1 	 3 	 0.994170 	 0.004940 	 0.000000
1 	 4 	 0.988250 	 0.010370 	 0.000000
1 	 5 	 0.980750 	 0.016460 	 0.000000
1 	 6 	 0.971110 	 0.022500 	 0.000000
1 	 7 	 0.958840 	 0.028530 	 0.000000
1 	 8 	 0.943890 	 0.034760 	 0.000000
1 	 9 	 0.926390 	 0.041160 	 0.000000
1 	 10 	 0.906410 	 0.047680 	 0.000000
1 	 11 	 0.884060 	 0.054270 	 0.000000
1 	 12 	 0.859470 	 0.060890 	 0.000000
1 	 13 	 0.832770 	 0.067490 	 0.000000
1 	 14 	 0.804120 	 0.074020 	 0.000000
1 	 15 	 0.773690 	 0.080440 	 0.000000
1 	 16 	 0.741660 	 0.086710 	 0.000000
1 	 17 	 0.708230 	 0.092770 	 0.000000
1 	 18 	 0.673600 	 0.098590 	 0.000000
1 	 19 	 0.637980 	 0.104120 	 0.000000
1 	 20 	 0.601580 	 0.109350 	 0.000000
1 	 21 	 0.564650 	 0.114250 	 0.000000
1 	 22 	 0.527440 	 0.118810 	 0.000000
1 	 23 	 0.490250 	 0.123030 	 0.000000
1 	 24 	 0.453400 	 0.126830 	 0.000000
1 	 25 	 0.417210 	 0.130110 	 0.000000
1 	 26 	 0.381930 	 0.132710 	 0.000000
1 	 27 	 0.347770 	 0.134470 	 0.000000
1 	 28 	 0.314880 	 0.135260 	 0.000000
1 	 29 	 0.283470 	 0.135050 	 0.000000
1 	 30 	 0.253700 	 0.133460 	 0.000000
1 	 31 	 0.225410 	 0.130370 	 0.000000
1 	 32 	 0.198460 	 0.125940 	 0.000000
1 	 33 	 0.172860 	 0.120260 	 0.000000
1 	 34 	 0.148630 	 0.113550 	 0.000000
1 	 35 	 0.125910 	 0.105980 	 0.000000
1 	 36 	 0.104820 	 0.097700 	 0.000000
1 	 37 	 0.085450 	 0.088790 	 0.000000
1 	 38 	 0.067890 	 0.079400 	 0.000000
1 	 39 	 0.052230 	 0.069650 	 0.000000
1 	 40 	 0.038550 	 0.059680 	 0.000000
1 	 41 	 0.026940 	 0.049660 	 0.000000
1 	 42 	 0.017550 	 0.039610 	 0.000000
1 	 43 	 0.010280 	 0.029540 	 0.000000
1 	 44 	 0.004950 	 0.019690 	 0.000000
1 	 45 	 0.000000 	 0.000000 	 0.000000
2 	 1 	 1.000000 	 0.000000 	 0.000000
2 	 2 	 0.998250 	 0.001150 	 0.000000
2 	 3 	 0.992680 	 0.004680 	 0.000000
2 	 4 	 0.982550 	 0.010600 	 0.000000
2 	 5 	 0.966930 	 0.018220 	 0.000000
2 	 6 	 0.945730 	 0.026240 	 0.000000
2 	 7 	 0.919660 	 0.033870 	 0.000000
2 	 8 	 0.889280 	 0.040880 	 0.000000
2 	 9 	 0.855000 	 0.047060 	 0.000000
2 	 10 	 0.817290 	 0.052190 	 0.000000
2 	 11 	 0.776600 	 0.056120 	 0.000000
2 	 12 	 0.733440 	 0.058720 	 0.000000
2 	 13 	 0.688320 	 0.059940 	 0.000000
2 	 14 	 0.641760 	 0.059760 	 0.000000
2 	 15 	 0.594280 	 0.058200 	 0.000000
2 	 16 	 0.546390 	 0.055340 	 0.000000
2 	 17 	 0.498600 	 0.051290 	 0.000000
2 	 18 	 0.451390 	 0.046180 	 0.000000
2 	 19 	 0.405190 	 0.040210 	 0.000000
2 	 20 	 0.360440 	 0.033580 	 0.000000
2 	 21 	 0.317500 	 0.026520 	 0.000000
2 	 22 	 0.276730 	 0.019280 	 0.000000
2 	 23 	 0.238400 	 0.012130 	 0.000000
2 	 24 	 0.202780 	 0.005350 	 0.000000
2 	 25 	 0.170060 	 -0.000750 	 0.000000
2 	 26 	 0.140200 	 -0.005630 	 0.000000
2 	 27 	 0.112820 	 -0.009250 	 0.000000
2 	 28 	 0.087870 	 -0.012020 	 0.000000
2 	 29 	 0.065610 	 -0.014040 	 0.000000
2 	 30 	 0.046270 	 -0.015320 	 0.000000
2 	 31 	 0.030060 	 -0.015840 	 0.000000
2 	 32 	 0.017180 	 -0.015500 	 0.000000
2 	 33 	 0.007890 	 -0.014270 	 0.000000
2 	 34 	 0.002640 	 -0.011200 	 0.000000
2 	 35 	 0.000440 	 -0.005610 	 0.000000
2 	 36 	 0.000000 	 0.000000 	 0.000000
3 	 1 	 1.000000 	 2.000000 	 0.000000
3 	 2 	 0.968108 	 1.999748 	 0.000000
3 	 3 	 0.935903 	 1.998993 	 0.000000
3 	 4 	 0.903394 	 1.997735 	 0.000000
3 	 5 	 0.870590 	 1.995973 	 0.000000
3 	 6 	 0.837498 	 1.993710 	 0.000000
3 	 7 	 0.804127 	 1.990944 	 0.000000
3 	 8 	 0.770487 	 1.987677 	 0.000000
3 	 9 	 0.736585 	 1.983910 	 0.000000
3 	 10 	 0.702433 	 1.979643 	 0.000000
3 	 11 	 0.668037 	 1.974878 	 0.000000
3 	 12 	 0.633409 	 1.969616 	 0.000000
3 	 13 	 0.598558 	 1.963857 	 0.000000
3 	 14 	 0.563493 	 1.957605 	 0.000000
3 	 15 	 0.528224 	 1.950860 	 0.000000
3 	 16 	 0.492761 	 1.943623 	 0.000000
3 	 17 	 0.457114 	 1.935897 	 0.000000
3 	 18 	 0.421294 	 1.927684 	 0.000000
3 	 19 	 0.385311 	 1.918986 	 0.000000
3 	 20 	 0.349175 	 1.909804 	 0.000000
3 	 21 	 0.312896 	 1.900142 	 0.000000
3 	 22 	 0.276486 	 1.890002 	 0.000000
